,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
1256,2009,Q1,Vancouver Coastal,All Facilities,All Procedures,15463,15344,4.1,19.0,09_Q1
3214,2009,Q2,Vancouver Coastal,All Facilities,All Procedures,16125,13288,4.4,18.7,09_Q2
5129,2009,Q3,Vancouver Coastal,All Facilities,All Procedures,15612,14219,4.3,20.6,09_Q3
7064,2009,Q4,Vancouver Coastal,All Facilities,All Procedures,15514,14446,4.3,18.0,09_Q4
9046,2010,Q1,Vancouver Coastal,All Facilities,All Procedures,15571,15407,4.4,18.6,10_Q1
10937,2010,Q2,Vancouver Coastal,All Facilities,All Procedures,16016,13403,4.4,19.0,10_Q2
12872,2010,Q3,Vancouver Coastal,All Facilities,All Procedures,16629,14243,3.9,20.3,10_Q3
14819,2010,Q4,Vancouver Coastal,All Facilities,All Procedures,16604,15131,4.1,20.1,10_Q4
16843,2011,Q1,Vancouver Coastal,All Facilities,All Procedures,16558,15529,4.1,20.1,11_Q1
18852,2011,Q2,Vancouver Coastal,All Facilities,All Procedures,17602,13278,4.6,19.9,11_Q2
20824,2011,Q3,Vancouver Coastal,All Facilities,All Procedures,17912,14552,4.3,22.1,11_Q3
22843,2011,Q4,Vancouver Coastal,All Facilities,All Procedures,17765,16018,4.4,22.0,11_Q4
24887,2012,Q1,Vancouver Coastal,All Facilities,All Procedures,17039,15696,4.1,21.0,12_Q1
26885,2012,Q2,Vancouver Coastal,All Facilities,All Procedures,17135,13289,4.3,20.4,12_Q2
28856,2012,Q3,Vancouver Coastal,All Facilities,All Procedures,16186,14967,4.0,21.9,12_Q3
30874,2012,Q4,Vancouver Coastal,All Facilities,All Procedures,15318,14586,4.4,19.7,12_Q4
32919,2013,Q1,Vancouver Coastal,All Facilities,All Procedures,14571,15828,4.1,19.4,13_Q1
34915,2013,Q2,Vancouver Coastal,All Facilities,All Procedures,15175,13142,4.7,19.7,13_Q2
36885,2013,Q3,Vancouver Coastal,All Facilities,All Procedures,15636,14127,4.6,23.8,13_Q3
38869,2013,Q4,Vancouver Coastal,All Facilities,All Procedures,16705,13631,5.1,22.9,13_Q4
40854,2014,Q1,Vancouver Coastal,All Facilities,All Procedures,16442,15253,4.6,23.6,14_Q1
42783,2014,Q2,Vancouver Coastal,All Facilities,All Procedures,17230,12887,5.7,25.1,14_Q2
44736,2014,Q3,Vancouver Coastal,All Facilities,All Procedures,17605,13777,5.6,27.4,14_Q3
46706,2014,Q4,Vancouver Coastal,All Facilities,All Procedures,17410,14664,6.1,27.2,14_Q4
48728,2015,Q1,Vancouver Coastal,All Facilities,All Procedures,17134,15482,5.9,26.7,15_Q1
50672,2015,Q2,Vancouver Coastal,All Facilities,All Procedures,18275,13178,6.3,26.0,15_Q2
52614,2015,Q3,Vancouver Coastal,All Facilities,All Procedures,18259,14277,6.3,27.1,15_Q3
54558,2015,Q4,Vancouver Coastal,All Facilities,All Procedures,18046,15663,6.4,27.1,15_Q4
56553,2016,Q1,Vancouver Coastal,All Facilities,All Procedures,18716,16343,6.0,26.5,16_Q1
58512,2016,Q2,Vancouver Coastal,All Facilities,All Procedures,20150,13600,6.3,24.9,16_Q2
60437,2016,Q3,Vancouver Coastal,All Facilities,All Procedures,21207,13617,6.6,28.0,16_Q3
62413,2016,Q4,Vancouver Coastal,All Facilities,All Procedures,21612,14910,7.1,29.9,16_Q4
64425,2017,Q1,Vancouver Coastal,All Facilities,All Procedures,20846,15775,7.0,29.7,17_Q1
66393,2017,Q2,Vancouver Coastal,All Facilities,All Procedures,21893,13371,6.7,28.0,17_Q2
68301,2017,Q3,Vancouver Coastal,All Facilities,All Procedures,22808,14900,6.4,30.9,17_Q3
70274,2017,Q4,Vancouver Coastal,All Facilities,All Procedures,22173,15932,6.3,29.9,17_Q4
72311,2018,Q1,Vancouver Coastal,All Facilities,All Procedures,21930,16529,6.3,31.4,18_Q1
74288,2018,Q2,Vancouver Coastal,All Facilities,All Procedures,22721,14388,6.1,30.0,18_Q2
76266,2018,Q3,Vancouver Coastal,All Facilities,All Procedures,22660,15505,6.9,31.4,18_Q3
78268,2018,Q4,Vancouver Coastal,All Facilities,All Procedures,22643,16030,6.9,31.0,18_Q4
80288,2019,Q1,Vancouver Coastal,All Facilities,All Procedures,22546,17031,6.1,30.0,19_Q1
82252,2019,Q2,Vancouver Coastal,All Facilities,All Procedures,23547,15393,6.6,28.7,19_Q2
84218,2019,Q3,Vancouver Coastal,All Facilities,All Procedures,24111,15757,6.3,29.6,19_Q3
86174,2019,Q4,Vancouver Coastal,All Facilities,All Procedures,24867,14706,6.6,29.9,19_Q4
87948,2020,Q1,Vancouver Coastal,All Facilities,All Procedures,24341,8795,6.7,33.9,20_Q1
89811,2020,Q2,Vancouver Coastal,All Facilities,All Procedures,23222,15784,6.7,40.0,20_Q2
91823,2020,Q3,Vancouver Coastal,All Facilities,All Procedures,23238,16570,5.1,40.6,20_Q3
93841,2020,Q4,Vancouver Coastal,All Facilities,All Procedures,21191,17982,5.3,33.4,20_Q4
97526,2021,Q1,Vancouver Coastal,All Facilities,All Procedures,21815,16861,5.1,30.0,21_Q1
99504,2021,Q2,Vancouver Coastal,All Facilities,All Procedures,21387,15426,5.6,29.0,21_Q2
101450,2021,Q3,Vancouver Coastal,All Facilities,All Procedures,21266,15037,5.3,29.0,21_Q3
