,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
135,2009,Q1,Fraser,All Facilities,All Procedures,22732,16788,6.0,28.0,09_Q1
2139,2009,Q2,Fraser,All Facilities,All Procedures,22356,14185,6.3,27.1,09_Q2
4038,2009,Q3,Fraser,All Facilities,All Procedures,22608,15372,5.9,27.6,09_Q3
5991,2009,Q4,Fraser,All Facilities,All Procedures,22900,15802,6.1,27.3,09_Q4
7942,2010,Q1,Fraser,All Facilities,All Procedures,23744,16046,6.9,27.3,10_Q1
9908,2010,Q2,Fraser,All Facilities,All Procedures,25883,13290,7.7,27.6,10_Q2
11786,2010,Q3,Fraser,All Facilities,All Procedures,26744,15758,7.1,29.4,10_Q3
13741,2010,Q4,Fraser,All Facilities,All Procedures,24926,17371,7.6,30.6,10_Q4
15700,2011,Q1,Fraser,All Facilities,All Procedures,25045,15781,7.0,30.7,11_Q1
17729,2011,Q2,Fraser,All Facilities,All Procedures,25002,13968,7.6,31.0,11_Q2
19691,2011,Q3,Fraser,All Facilities,All Procedures,23759,15317,7.0,32.8,11_Q3
21677,2011,Q4,Fraser,All Facilities,All Procedures,22731,16492,6.1,30.1,11_Q4
23722,2012,Q1,Fraser,All Facilities,All Procedures,23549,15429,6.0,29.0,12_Q1
25754,2012,Q2,Fraser,All Facilities,All Procedures,23468,13544,6.3,28.9,12_Q2
27708,2012,Q3,Fraser,All Facilities,All Procedures,22404,15097,5.9,31.0,12_Q3
29719,2012,Q4,Fraser,All Facilities,All Procedures,22350,15281,6.0,29.9,12_Q4
31735,2013,Q1,Fraser,All Facilities,All Procedures,22838,16235,6.0,28.7,13_Q1
33802,2013,Q2,Fraser,All Facilities,All Procedures,23071,14221,6.3,27.1,13_Q2
35739,2013,Q3,Fraser,All Facilities,All Procedures,21778,15263,6.0,29.7,13_Q3
37724,2013,Q4,Fraser,All Facilities,All Procedures,21987,14499,7.0,32.6,13_Q4
39719,2014,Q1,Fraser,All Facilities,All Procedures,21682,16205,6.7,30.0,14_Q1
41699,2014,Q2,Fraser,All Facilities,All Procedures,22226,13832,7.3,30.1,14_Q2
43628,2014,Q3,Fraser,All Facilities,All Procedures,22522,15064,6.9,32.6,14_Q3
45576,2014,Q4,Fraser,All Facilities,All Procedures,22130,15593,7.4,33.9,14_Q4
47568,2015,Q1,Fraser,All Facilities,All Procedures,21853,16395,7.0,33.0,15_Q1
49576,2015,Q2,Fraser,All Facilities,All Procedures,22567,13729,8.0,34.4,15_Q2
51496,2015,Q3,Fraser,All Facilities,All Procedures,23004,15194,7.4,34.0,15_Q3
53451,2015,Q4,Fraser,All Facilities,All Procedures,22680,15749,7.9,35.0,15_Q4
55417,2016,Q1,Fraser,All Facilities,All Procedures,22625,17483,7.7,35.0,16_Q1
57430,2016,Q2,Fraser,All Facilities,All Procedures,23858,14349,8.6,33.0,16_Q2
59325,2016,Q3,Fraser,All Facilities,All Procedures,24027,15381,7.9,31.7,16_Q3
61269,2016,Q4,Fraser,All Facilities,All Procedures,24598,16673,7.9,34.0,16_Q4
63277,2017,Q1,Fraser,All Facilities,All Procedures,24709,17079,7.6,33.0,17_Q1
65298,2017,Q2,Fraser,All Facilities,All Procedures,24594,14778,8.0,33.3,17_Q2
67186,2017,Q3,Fraser,All Facilities,All Procedures,25726,16274,7.6,34.3,17_Q3
69132,2017,Q4,Fraser,All Facilities,All Procedures,25303,16751,8.0,35.0,17_Q4
71138,2018,Q1,Fraser,All Facilities,All Procedures,24989,17680,8.0,32.1,18_Q1
73162,2018,Q2,Fraser,All Facilities,All Procedures,24900,15119,8.0,32.0,18_Q2
75121,2018,Q3,Fraser,All Facilities,All Procedures,25915,16899,7.7,32.0,18_Q3
77106,2018,Q4,Fraser,All Facilities,All Procedures,26255,17019,8.0,33.1,18_Q4
79107,2019,Q1,Fraser,All Facilities,All Procedures,26772,17634,7.9,31.9,19_Q1
81137,2019,Q2,Fraser,All Facilities,All Procedures,27699,15732,8.1,33.0,19_Q2
83079,2019,Q3,Fraser,All Facilities,All Procedures,28412,17205,8.0,34.6,19_Q3
85067,2019,Q4,Fraser,All Facilities,All Procedures,26926,15925,7.9,34.4,19_Q4
86994,2020,Q1,Fraser,All Facilities,All Procedures,27235,9905,11.6,37.6,20_Q1
88680,2020,Q2,Fraser,All Facilities,All Procedures,25832,16340,7.6,43.0,20_Q2
90655,2020,Q3,Fraser,All Facilities,All Procedures,25604,17187,6.0,42.1,20_Q3
92679,2020,Q4,Fraser,All Facilities,All Procedures,24438,18705,6.0,36.9,20_Q4
96360,2021,Q1,Fraser,All Facilities,All Procedures,25444,17516,5.9,31.4,21_Q1
98378,2021,Q2,Fraser,All Facilities,All Procedures,23961,17090,6.3,31.2,21_Q2
100336,2021,Q3,Fraser,All Facilities,All Procedures,22589,17489,5.7,30.3,21_Q3
